Topic ID,CLD Score,,,,,,,
653,0.029,,,,,,,
1816,0.028,,,,,,,
949,0.028,,,,,,,
1277,0.028,,,,,,,
1356,0.028,,,,,,,
465,0.028,,,,,,,
816,0.028,,,,,,,
447,0.028,,,,,,,
1317,0.028,,,,,,,
1060,0.028,,,,,,,
1222,0.028,,,,,,,
393,0.028,,,,,,,
1905,0.028,,,,,,,
1225,0.028,,,,,,,
1195,0.028,,,,,,,
1871,0.028,,,,,,,
692,0.027,,,,,,,
613,0.027,,,,,,,
825,0.027,,,,,,,
1948,0.027,,,,,,,
1464,0.027,,,,,,,
1861,0.027,,,,,,,
634,0.027,,,,,,,
1902,0.027,,,,,,,
868,0.027,,,,,,,
158,0.027,,,,,,,
792,0.027,,,,,,,
1760,0.027,,,,,,,
175,0.027,,,,,,,
204,0.027,,,,,,,
834,0.027,,,,,,,
35,0.027,,,,,,,
445,0.027,,,,,,,
578,0.027,,,,,,,
1188,0.027,,,,,,,
700,0.027,,,,,,,
688,0.027,,,,,,,
170,0.027,,,,,,,
1776,0.026,,,,,,,
490,0.026,,,,,,,
1388,0.026,,,,,,,
566,0.026,,,,,,,
572,0.026,,,,,,,
1453,0.026,,,,,,,
920,0.026,,,,,,,
1723,0.026,,,,,,,
1231,0.026,,,,,,,
1257,0.026,,,,,,,
970,0.026,,,,,,,
1434,0.026,,,,,,,
380,0.026,,,,,,,
1580,0.026,,,,,,,
661,0.026,,,,,,,
58,0.026,,,,,,,
617,0.026,,,,,,,
1403,0.025,,,,,,,
978,0.025,,,,,,,
1826,0.025,,,,,,,
195,0.025,,,,,,,
1631,0.025,,,,,,,
559,0.025,,,,,,,
561,0.025,,,,,,,
676,0.025,,,,,,,
704,0.025,,,,,,,
1052,0.025,,,,,,,
160,0.025,,,,,,,
550,0.025,,,,,,,
372,0.025,,,,,,,
1398,0.025,,,,,,,
1255,0.024,,,,,,,
1315,0.024,,,,,,,
123,0.024,,,,,,,
95,0.024,,,,,,,
151,0.024,,,,,,,
1396,0.024,,,,,,,
96,0.024,,,,,,,
624,0.024,,,,,,,
1725,0.024,,,,,,,
1480,0.024,,,,,,,
1180,0.024,,,,,,,
1521,0.024,,,,,,,
1957,0.024,,,,,,,
57,0.024,,,,,,,
1937,0.024,,,,,,,
1713,0.024,,,,,,,
1704,0.024,,,,,,,
1059,0.024,,,,,,,
773,0.024,,,,,,,
1665,0.024,,,,,,,
130,0.024,,,,,,,
1971,0.023,,,,,,,
523,0.023,,,,,,,
1087,0.023,,,,,,,
1895,0.023,,,,,,,
1786,0.023,,,,,,,
166,0.023,,,,,,,
1178,0.023,,,,,,,
1619,0.023,,,,,,,
598,0.023,,,,,,,
7,0.023,,,,,,,
1176,0.023,,,,,,,
1650,0.023,,,,,,,
859,0.023,,,,,,,
791,0.023,,,,,,,
943,0.023,,,,,,,
679,0.023,,,,,,,
188,0.023,,,,,,,
394,0.023,,,,,,,
1279,0.022,,,,,,,
1946,0.022,,,,,,,
1672,0.022,,,,,,,
1308,0.022,,,,,,,
757,0.022,,,,,,,
255,0.022,,,,,,,
1235,0.022,,,,,,,
810,0.022,,,,,,,
843,0.022,,,,,,,
1467,0.022,,,,,,,
551,0.022,,,,,,,
313,0.022,,,,,,,
138,0.022,,,,,,,
1970,0.022,,,,,,,
1360,0.022,,,,,,,
1186,0.021,,,,,,,
413,0.021,,,,,,,
1866,0.021,,,,,,,
317,0.021,,,,,,,
542,0.021,,,,,,,
1673,0.021,,,,,,,
145,0.021,,,,,,,
28,0.021,,,,,,,
1694,0.021,,,,,,,
521,0.021,,,,,,,
212,0.021,,,,,,,
82,0.021,,,,,,,
693,0.021,,,,,,,
1842,0.021,,,,,,,
246,0.021,,,,,,,
1121,0.021,,,,,,,
1730,0.021,,,,,,,
1995,0.021,,,,,,,
803,0.021,,,,,,,
827,0.021,,,,,,,
1682,0.021,,,,,,,
956,0.021,,,,,,,
641,0.021,,,,,,,
488,0.021,,,,,,,
1788,0.021,,,,,,,
53,0.021,,,,,,,
558,0.021,,,,,,,
1772,0.021,,,,,,,
519,0.021,,,,,,,
268,0.02,,,,,,,
921,0.02,,,,,,,
31,0.02,,,,,,,
708,0.02,,,,,,,
606,0.02,,,,,,,
352,0.02,,,,,,,
1105,0.02,,,,,,,
906,0.02,,,,,,,
251,0.02,,,,,,,
1329,0.02,,,,,,,
1603,0.02,,,,,,,
1145,0.02,,,,,,,
1203,0.02,,,,,,,
1988,0.02,,,,,,,
1083,0.02,,,,,,,
104,0.02,,,,,,,
438,0.02,,,,,,,
589,0.02,,,,,,,
1592,0.02,,,,,,,
423,0.02,,,,,,,
1385,0.019,,,,,,,
954,0.019,,,,,,,
91,0.019,,,,,,,
927,0.019,,,,,,,
1399,0.019,,,,,,,
1525,0.019,,,,,,,
1283,0.019,,,,,,,
172,0.019,,,,,,,
1999,0.019,,,,,,,
1301,0.019,,,,,,,
771,0.019,,,,,,,
1331,0.019,,,,,,,
1941,0.019,,,,,,,
1929,0.019,,,,,,,
503,0.019,,,,,,,
47,0.019,,,,,,,
1214,0.019,,,,,,,
390,0.019,,,,,,,
1147,0.018,,,,,,,
1670,0.018,,,,,,,
1563,0.018,,,,,,,
1506,0.018,,,,,,,
1357,0.018,,,,,,,
1309,0.018,,,,,,,
1804,0.018,,,,,,,
316,0.018,,,,,,,
1091,0.018,,,,,,,
